DateTime,Symbol,O1_Open,C3_Close,Diff,Diff_%,Direction
2026-07-14 11:20:37,NSE-NIFTY-21Jul26-24200-CE,130.35,130.35,0.0,0.0,PE
2026-07-14 11:21:21,NSE-NIFTY-21Jul26-24200-CE,132.15,131.6,-0.55,-0.4162,PE
2026-07-14 11:22:42,NSE-NIFTY-21Jul26-24200-CE,130.5,132.45,1.95,1.4943,CE
2026-07-14 11:30:05,NSE-NIFTY-21Jul26-24050-PE,147.5,146.0,-1.5,-1.0169,CE
2026-07-14 11:32:04,NSE-NIFTY-21Jul26-24200-CE,134.8,132.7,-2.1,-1.5579,PE
2026-07-14 11:32:45,NSE-NIFTY-21Jul26-24000-PE,126.05,128.4,2.35,1.8643,PE
2026-07-14 11:35:33,NSE-NIFTY-21Jul26-24200-CE,130.8,131.55,0.75,0.5734,CE
2026-07-14 11:36:56,NSE-NIFTY-21Jul26-24000-PE,127.6,132.45,4.85,3.8009,PE
2026-07-14 11:39:43,NSE-NIFTY-21Jul26-24150-CE,149.25,144.35,-4.9,-3.2831,PE
2026-07-14 11:43:05,NSE-NIFTY-21Jul26-24000-PE,135.0,139.45,4.45,3.2963,PE
2026-07-14 11:47:53,NSE-NIFTY-21Jul26-24150-CE,138.4,141.0,2.6,1.8786,CE
2026-07-14 11:50:41,NSE-NIFTY-21Jul26-24150-CE,140.95,144.0,3.05,2.1639,CE
2026-07-14 11:51:43,NSE-NIFTY-21Jul26-24150-CE,143.4,147.5,4.1,2.8591,CE
2026-07-14 11:54:45,NSE-NIFTY-21Jul26-24050-PE,148.65,156.3,7.65,5.1463,PE
2026-07-14 11:58:42,NSE-NIFTY-21Jul26-24150-CE,138.65,135.1,-3.55,-2.5604,PE
2026-07-14 12:00:03,NSE-NIFTY-21Jul26-24000-PE,142.75,142.2,-0.55,-0.3853,CE
2026-07-14 12:00:46,NSE-NIFTY-21Jul26-24000-PE,142.75,138.7,-4.05,-2.8371,CE
2026-07-14 12:01:29,NSE-NIFTY-21Jul26-24150-CE,136.0,138.6,2.6,1.9118,CE
2026-07-14 12:04:50,NSE-NIFTY-21Jul26-24000-PE,137.3,139.3,2.0,1.4567,PE
2026-07-14 12:07:52,NSE-NIFTY-21Jul26-23950-PE,119.8,124.8,5.0,4.1736,PE
2026-07-14 12:08:38,NSE-NIFTY-21Jul26-24000-PE,139.2,145.05,5.85,4.2026,PE
2026-07-14 12:10:06,NSE-NIFTY-21Jul26-23950-PE,126.25,127.0,0.75,0.5941,PE
2026-07-14 12:11:31,NSE-NIFTY-21Jul26-24150-CE,131.75,132.8,1.05,0.797,CE
2026-07-14 12:16:01,NSE-NIFTY-21Jul26-24100-PE,191.0,200.25,9.25,4.8429,PE
2026-07-14 12:17:25,NSE-NIFTY-21Jul26-24100-CE,155.55,150.95,-4.6,-2.9572,PE
2026-07-14 12:18:09,NSE-NIFTY-21Jul26-24100-CE,150.25,151.15,0.9,0.599,CE
2026-07-14 12:18:52,NSE-NIFTY-21Jul26-24100-CE,150.25,150.85,0.6,0.3993,CE
2026-07-14 12:19:36,NSE-NIFTY-21Jul26-24100-CE,150.95,154.7,3.75,2.4843,CE
2026-07-14 12:24:20,NSE-NIFTY-21Jul26-24150-CE,128.3,128.25,-0.05,-0.039,PE
2026-07-14 12:27:06,NSE-NIFTY-21Jul26-23950-PE,133.0,133.65,0.65,0.4887,PE
2026-07-14 12:29:55,NSE-NIFTY-21Jul26-24100-CE,146.7,141.6,-5.1,-3.4765,PE
2026-07-14 12:30:39,NSE-NIFTY-21Jul26-24100-CE,145.95,144.3,-1.65,-1.1305,PE
2026-07-14 12:31:25,NSE-NIFTY-21Jul26-23950-PE,137.35,137.6,0.25,0.182,PE
2026-07-14 12:32:51,NSE-NIFTY-21Jul26-23950-PE,137.5,138.7,1.2,0.8727,PE
2026-07-14 12:33:41,NSE-NIFTY-21Jul26-24100-CE,143.75,144.9,1.15,0.8,CE
2026-07-14 12:35:52,NSE-NIFTY-21Jul26-24100-CE,143.55,148.7,5.15,3.5876,CE
2026-07-14 12:36:39,NSE-NIFTY-21Jul26-23950-PE,137.1,131.4,-5.7,-4.1575,CE
2026-07-14 12:37:24,NSE-NIFTY-21Jul26-24100-CE,146.5,147.1,0.6,0.4096,CE
2026-07-14 12:38:09,NSE-NIFTY-21Jul26-23950-PE,132.7,134.55,1.85,1.3941,PE
2026-07-14 12:43:17,NSE-NIFTY-21Jul26-23850-PE,97.05,97.0,-0.05,-0.0515,CE
2026-07-14 12:43:59,NSE-NIFTY-21Jul26-24100-CE,148.3,148.75,0.45,0.3034,CE
2026-07-14 12:44:41,NSE-NIFTY-21Jul26-24000-PE,152.1,149.25,-2.85,-1.8738,CE
2026-07-14 12:45:22,NSE-NIFTY-21Jul26-24000-PE,150.2,151.8,1.6,1.0652,PE
2026-07-14 12:48:03,NSE-NIFTY-21Jul26-24100-CE,149.15,149.4,0.25,0.1676,CE
2026-07-14 12:49:22,NSE-NIFTY-21Jul26-24000-PE,150.4,151.9,1.5,0.9973,PE
2026-07-14 12:57:07,NSE-NIFTY-21Jul26-24100-CE,149.85,152.9,3.05,2.0354,CE
2026-07-14 13:00:28,NSE-NIFTY-21Jul26-24100-CE,150.85,145.55,-5.3,-3.5134,PE
2026-07-14 13:03:12,NSE-NIFTY-21Jul26-23950-PE,138.1,137.0,-1.1,-0.7965,CE
2026-07-14 13:05:13,NSE-NIFTY-21Jul26-24100-PE,203.95,196.3,-7.65,-3.7509,CE
2026-07-14 13:05:54,NSE-NIFTY-21Jul26-24100-CE,146.3,150.15,3.85,2.6316,CE
2026-07-14 13:06:47,NSE-NIFTY-21Jul26-24100-CE,146.5,150.85,4.35,2.9693,CE
2026-07-14 13:07:31,NSE-NIFTY-21Jul26-24100-CE,148.8,150.3,1.5,1.0081,CE
2026-07-14 13:10:50,NSE-NIFTY-21Jul26-24000-PE,151.35,152.75,1.4,0.925,PE
2026-07-14 13:11:36,NSE-NIFTY-21Jul26-24100-CE,150.15,149.65,-0.5,-0.333,PE
2026-07-14 13:12:18,NSE-NIFTY-21Jul26-24000-PE,150.7,153.5,2.8,1.858,PE
2026-07-14 13:13:15,NSE-NIFTY-21Jul26-24000-PE,153.85,153.35,-0.5,-0.325,CE
2026-07-14 13:15:12,NSE-NIFTY-21Jul26-24000-PE,152.6,155.85,3.25,2.1298,PE
2026-07-14 13:16:30,NSE-NIFTY-21Jul26-24100-CE,148.0,145.6,-2.4,-1.6216,PE
2026-07-14 13:18:31,NSE-NIFTY-21Jul26-24100-CE,144.7,150.4,5.7,3.9392,CE
2026-07-14 13:19:52,NSE-NIFTY-21Jul26-24100-CE,145.3,150.85,5.55,3.8197,CE
2026-07-14 13:20:36,NSE-NIFTY-21Jul26-24100-CE,149.25,152.2,2.95,1.9765,CE
2026-07-14 13:21:31,NSE-NIFTY-21Jul26-24100-CE,149.75,152.5,2.75,1.8364,CE
2026-07-14 13:27:32,NSE-NIFTY-21Jul26-24000-PE,150.75,157.75,7.0,4.6434,PE
2026-07-14 13:28:52,NSE-NIFTY-21Jul26-24100-CE,148.1,148.3,0.2,0.135,CE
2026-07-14 13:48:27,NSE-NIFTY-21Jul26-24100-CE,140.05,139.9,-0.15,-0.1071,PE
2026-07-14 13:49:11,NSE-NIFTY-21Jul26-24100-CE,141.95,140.65,-1.3,-0.9158,PE
2026-07-14 13:49:55,NSE-NIFTY-21Jul26-24100-CE,141.95,140.3,-1.65,-1.1624,PE
2026-07-14 13:53:20,NSE-NIFTY-21Jul26-23950-PE,141.85,143.0,1.15,0.8107,PE
2026-07-14 13:55:31,NSE-NIFTY-21Jul26-24150-CE,119.45,121.4,1.95,1.6325,CE
2026-07-14 14:00:00,NSE-NIFTY-21Jul26-23950-PE,140.55,141.75,1.2,0.8538,PE
2026-07-14 14:03:52,NSE-NIFTY-21Jul26-23950-PE,140.8,145.05,4.25,3.0185,PE
2026-07-14 14:04:35,NSE-NIFTY-21Jul26-24100-CE,139.2,140.75,1.55,1.1135,CE
